"audit_id","ui_tab","ui_section","displayed_field","field_class","source_authority","current_explanation","current_formula","google_sheets_formula_template","required_inputs","units","date_scope","rounding_rule","validation_tolerance","missing_data_behavior","methodology_assessment","severity","approved_target_methodology","implementation_source","validation_status","notes"
"HYPO-011","Hypothetical","Risk","Expected return","calculated","Owner-entered common assumption","Weights symbol assumptions; current UI assigns the same entered return to every current and proposed symbol.","ExpectedReturn=SUM(HoldingWeight_s*AssumedReturn_s)","'=SUMPRODUCT(HoldingWeights,ExpectedReturns)","Weights; assumptions","Decimal annual return","Scenario horizon assumption","Table raw","0.000001","Current UI populates all involved symbols.","Correct arithmetic; cash earns zero implicitly.","High","Retain but disclose cash drag and common-return simplification.","chat_alpaca/hypothetical.py:_snapshot; streamlit_app.py","Disclosure required",""
"HYPO-012","Hypothetical","Risk","Forecast target probability; downside P5/P25","stochastic-summary","5,000 seeded lognormal simulations","Runs the simple forecast model from scenario total value using weighted expected return and historical volatility.","Same formulas as FORECAST-002 through FORECAST-006 with 5,000 simulations and seed 20260720","'=COUNTIF(HypoSimulations!Terminal:Terminal,"">=""&Target)/COUNT(HypoSimulations!Terminal:Terminal)","Scenario value; return; volatility; target","Probability; USD","Configured hypothetical horizon","Table raw","Exact with identical simulations","Target probability absent without target.","Consistent with simple forecast limitations.","High","Retain model and seed disclosure.","chat_alpaca/hypothetical.py:_snapshot","Requires seeded reproduction",""
"HYPO-013","Hypothetical","Risk","Deterministic stress loss","calculated","Scenario exposures and configured shock","Applies broad-market, symbol, or sector shock to exposed value.","StressLoss=ExposedValue*Shock","'=ExposedValue*ShockRate","Exposure; shock","USD","Immediate scenario","Table raw","$0.01","Unknown stress category may resolve to zero exposure.","Correct first-order stress.","Medium","Retain category disclosure.","chat_alpaca/hypothetical.py:_snapshot","Requires independent check",""
"HYPO-014","Hypothetical","Retirement","Depletion Probability","stochastic-summary","Simplified hypothetical retirement simulation","Depletion Probability reports terminal depletion and is paired with the approved simplified-model limitation disclosure.","DepletionProbability = COUNT(TerminalValue=0)/N","'=COUNTIF(HypoRetirement!Terminal:Terminal,"">0"")/COUNT(HypoRetirement!Terminal:Terminal)","Value; expected return; volatility; spending; horizon; seed","Probability","20-40 years","Table raw","Exact with identical simulations","Absent when retirement option disabled.","Implemented approved methodology with independent reference tests; passing tests are not proof of methodology correctness.","Critical","Label Simplified retirement depletion probability or replace with the full account-aware retirement engine.","chat_alpaca/hypothetical.py:_retirement_probability","Implemented and tested","Depletion Probability reports terminal depletion and is paired with the approved simplified-model limitation disclosure."
"HYPO-015","Hypothetical","Saved scenarios","Name; Creator; Created; Market data as of; Stale baseline","database-passthrough-and-calculated-status","Saved scenario plus ledger hash","Displays saved metadata; stale is true when the current scoped ledger hash differs from the saved baseline hash.","StaleBaseline = CurrentLedgerHash<>SavedLedgerHash","'=CurrentLedgerHash<>SavedLedgerHash","Saved record; current ledger hash","Mixed","Read time","Text; Boolean","Exact","Missing scenario produces no row.","Strong change-detection control.","High","Retain.","chat_alpaca/hypothetical.py:load_hypothetical_scenarios","Requires hash reproduction",""
"RET-001","Service output not currently displayed","Retirement model","Monthly inflation","calculated-assumption","Retirement profile","Converts annual inflation to an effective monthly rate.","MonthlyInflation=(1+AnnualInflation)^(1/12)-1","'=POWER(1+AnnualInflation,1/12)-1","Annual inflation","Decimal monthly rate","Planning horizon","Full precision","0.000001","Invalid inflation rejected.","Correct.","High","Retain.","chat_alpaca/retirement.py:_simulate","Requires independent check",""
"RET-002","Service output not currently displayed","Retirement model","Monthly fee","calculated-assumption","Retirement assumptions","Converts annual fee to an effective monthly deduction.","MonthlyFee=1-(1-AnnualFee)^(1/12)","'=1-POWER(1-AnnualFee,1/12)","Annual fee","Decimal monthly rate","Planning horizon","Full precision","0.000001","Invalid fee rejected.","Correct effective-rate conversion.","High","Retain.","chat_alpaca/retirement.py:_simulate","Requires independent check",""
"RET-003","Service output not currently displayed","Retirement model","Account balances after returns and fees","stochastic-calculated","Sampled portfolio returns","Retirement remediation implements account allocations, equal month-end deposits, fixed Social Security taxable fraction disclosure, owner RMDs, qualified Roth/no Traditional basis assumptions, taxable FIFO-plus-cash basis, proportional basis reduction, and retained surplus cash.","Balance_a,m = Balance_a,m-1 * (1 + weighted account-specific return_a,m) * (1-MonthlyFee)","'=PriorBalance*(1+PortfolioReturn)*(1-MonthlyFee)","Account balances; sampled return; fee","USD","Monthly","Percentile output","Exact with same paths","Invalid sampled dimensions rejected.","Implemented approved methodology with independent reference tests; passing tests are not proof of methodology correctness.","Critical","Disclose common-allocation assumption or model account-specific allocations.","chat_alpaca/retirement.py:_simulate","Implemented and tested","Retirement remediation implements account allocations, equal month-end deposits, fixed Social Security taxable fraction disclosure, owner RMDs, qualified Roth/no Traditional basis assumptions, taxable FIFO-plus-cash basis, proportional basis reduction, and retained surplus cash."
"RET-004","Service output not currently displayed","Retirement model","Contributions","calculated","Profile and allocation weights","Retirement remediation implements account allocations, equal month-end deposits, fixed Social Security taxable fraction disclosure, owner RMDs, qualified Roth/no Traditional basis assumptions, taxable FIFO-plus-cash basis, proportional basis reduction, and retained surplus cash.","MonthlyDeposit = contribution amount for monthly frequency, else annual amount/12; deposit at month-end","'=ContributionAmount*AccountContributionWeight","Contribution; frequency; account balances/configured weights","USD","Pre-retirement months","Raw","$0.01","Invalid allocations rejected.","Implemented approved methodology with independent reference tests; passing tests are not proof of methodology correctness.","High","Explicitly disclose beginning-of-year annual timing.","chat_alpaca/retirement.py:_contribution_weights; _simulate","Implemented and tested","Retirement remediation implements account allocations, equal month-end deposits, fixed Social Security taxable fraction disclosure, owner RMDs, qualified Roth/no Traditional basis assumptions, taxable FIFO-plus-cash basis, proportional basis reduction, and retained surplus cash."
"RET-005","Service output not currently displayed","Retirement model","Fixed real spending","calculated","Retirement profile","Inflates fixed real annual spending from as-of and divides it monthly.","NominalSpending_m=RealAnnualSpending/12*(1+MonthlyInflation)^m","'=RealAnnualSpending/12*POWER(1+MonthlyInflation,MonthNumber)","Real spending; inflation; month","USD","Retirement months","Raw","$0.01","Nonnegative validation.","Correct fixed-real spending method.","High","Retain.","chat_alpaca/retirement.py:_simulate","Requires independent check",""
"RET-006","Service output not currently displayed","Retirement model","One-time spending","calculated","Spending events","Adds the inflation-adjusted real event amount in the rounded event-age month.","EventNominal=EventRealAmount*(1+MonthlyInflation)^EventMonth","'=EventRealAmount*POWER(1+MonthlyInflation,EventMonth)","Event amount; age; inflation","USD","Event month","Raw","$0.01","Invalid age/amount rejected.","Correct within monthly timing approximation.","Medium","Retain rounded-month disclosure.","chat_alpaca/retirement.py:_simulate","Requires independent check",""
"RET-007","Service output not currently displayed","Retirement income","Gross outside income","calculated","Outside-income assumptions","Retirement remediation implements account allocations, equal month-end deposits, fixed Social Security taxable fraction disclosure, owner RMDs, qualified Roth/no Traditional basis assumptions, taxable FIFO-plus-cash basis, proportional basis reduction, and retained surplus cash.","Gross_m=AnnualRealAmount/12*(1+COLA)^((m-start)/12)","'=AnnualRealIncome/12*POWER(1+COLA,(Month-StartMonth)/12)","Income amount; start; COLA","USD","Eligible retirement months","Raw","$0.01","Outside eligibility window produces zero.","Implemented approved methodology with independent reference tests; passing tests are not proof of methodology correctness.","High","Retain.","chat_alpaca/retirement.py:_simulate","Implemented and tested","Retirement remediation implements account allocations, equal month-end deposits, fixed Social Security taxable fraction disclosure, owner RMDs, qualified Roth/no Traditional basis assumptions, taxable FIFO-plus-cash basis, proportional basis reduction, and retained surplus cash."
"TAX-001","Service output not currently displayed","Retirement tax","Outside-income tax","calculated-tax-estimate","Flat tax assumptions","Retirement remediation implements account allocations, equal month-end deposits, fixed Social Security taxable fraction disclosure, owner RMDs, qualified Roth/no Traditional basis assumptions, taxable FIFO-plus-cash basis, proportional basis reduction, and retained surplus cash.","IncomeTax=GrossIncome*TaxableFraction*OrdinaryRate","'=GrossIncome*TaxableFraction*OrdinaryRate","Gross income; taxable fraction; rate","USD","Monthly","Raw","$0.01","Defaults Social Security fraction to configured 85%; other income to 100%.","Implemented approved methodology with independent reference tests; passing tests are not proof of methodology correctness.","Critical","Retain strong limitation disclosure.","chat_alpaca/retirement.py:_simulate","Implemented and tested","Retirement remediation implements account allocations, equal month-end deposits, fixed Social Security taxable fraction disclosure, owner RMDs, qualified Roth/no Traditional basis assumptions, taxable FIFO-plus-cash basis, proportional basis reduction, and retained surplus cash."
"TAX-002","Service output not currently displayed","Retirement tax","Qualified-dividend tax drag","calculated-tax-estimate","Taxable balances and flat assumptions","Assumes total returns contain dividends, estimates a monthly dividend yield on taxable balances, and subtracts only the tax drag.","Tax=TaxableBalance*MonthlyDividendYield*DividendTaxRate","'=TaxableBalance*POWER(1+AnnualQualifiedDividendYield,1/12)-TaxableBalance","Taxable balance; yield; rate","USD","Monthly","Raw","$0.01","Zero yield produces zero tax.","Conceptually reasonable total-return tax drag, but the sheet formula must multiply yield amount by tax rate.","Critical","Use '=TaxableBalance*(POWER(1+AnnualQualifiedDividendYield,1/12)-1)*DividendTaxRate' for validation.","chat_alpaca/retirement.py:_simulate","Formula note","Approved formula is in notes because this row documents current method."
"TAX-003","Service output not currently displayed","Retirement tax","Traditional IRA withdrawal tax","calculated-tax-estimate","Flat ordinary rate","Retirement remediation implements account allocations, equal month-end deposits, fixed Social Security taxable fraction disclosure, owner RMDs, qualified Roth/no Traditional basis assumptions, taxable FIFO-plus-cash basis, proportional basis reduction, and retained surplus cash.","OwnerIRARMD = prior December 31 balance / applicable IRS divisor; ordinary tax = gross RMD * configured rate","'=MIN(AccountBalance,NetNeed/(1-OrdinaryRate))","Remaining spending; rate; account balance","USD","Withdrawal month","Raw","$0.01","Account cap can leave shortfall.","Implemented approved methodology with independent reference tests; passing tests are not proof of methodology correctness.","Critical","Retain limitation disclosure; do not call tax advice.","chat_alpaca/retirement.py:_simulate","Implemented and tested","Retirement remediation implements account allocations, equal month-end deposits, fixed Social Security taxable fraction disclosure, owner RMDs, qualified Roth/no Traditional basis assumptions, taxable FIFO-plus-cash basis, proportional basis reduction, and retained surplus cash."
"TAX-004","Service output not currently displayed","Retirement tax","Roth IRA withdrawal tax","calculated-tax-estimate","Account classification","Retirement remediation implements account allocations, equal month-end deposits, fixed Social Security taxable fraction disclosure, owner RMDs, qualified Roth/no Traditional basis assumptions, taxable FIFO-plus-cash basis, proportional basis reduction, and retained surplus cash.","EffectiveRate=0; Gross=MIN(Balance,NetNeed)","'=MIN(AccountBalance,NetNeed)","Roth balance; need","USD","Withdrawal month","Raw","$0.01","Account cap can leave shortfall.","Implemented approved methodology with independent reference tests; passing tests are not proof of methodology correctness.","High","Retain legal/tax limitation disclosure.","chat_alpaca/retirement.py:_simulate","Implemented and tested","Retirement remediation implements account allocations, equal month-end deposits, fixed Social Security taxable fraction disclosure, owner RMDs, qualified Roth/no Traditional basis assumptions, taxable FIFO-plus-cash basis, proportional basis reduction, and retained surplus cash."
"TAX-005","Service output not currently displayed","Retirement tax","Taxable embedded gain fraction","calculated-tax-estimate","Aggregate taxable balance and basis","Retirement remediation implements account allocations, equal month-end deposits, fixed Social Security taxable fraction disclosure, owner RMDs, qualified Roth/no Traditional basis assumptions, taxable FIFO-plus-cash basis, proportional basis reduction, and retained surplus cash.","AggregateTaxableBasis = remaining FIFO security basis + taxable cash; GainFraction=MAX(Balance-Basis,0)/Balance","'=IF(Balance=0,0,MAX(Balance-Basis,0)/Balance*CapitalGainsRate)","Taxable balance; aggregate basis; rate","Effective tax rate","Withdrawal month","Raw","0.000001 rate; $0.01 tax","Falls back to configured realization fraction when basis is unavailable.","Implemented approved methodology with independent reference tests; passing tests are not proof of methodology correctness.","Critical","Populate aggregate taxable cost basis from FIFO ledger when building retirement requests.","chat_alpaca/retirement.py:_simulate; build_retirement_request","Implemented and tested","Retirement remediation implements account allocations, equal month-end deposits, fixed Social Security taxable fraction disclosure, owner RMDs, qualified Roth/no Traditional basis assumptions, taxable FIFO-plus-cash basis, proportional basis reduction, and retained surplus cash."
"TAX-006","Service output not currently displayed","Retirement tax","Taxable basis reduction","calculated-tax-estimate","Aggregate basis","Retirement remediation implements account allocations, equal month-end deposits, fixed Social Security taxable fraction disclosure, owner RMDs, qualified Roth/no Traditional basis assumptions, taxable FIFO-plus-cash basis, proportional basis reduction, and retained surplus cash.","BasisAfter=BasisBefore*(1-GrossWithdrawal/PriorBalance)","'=BasisBefore*(1-GrossWithdrawal/PriorBalance)","Basis; prior balance; gross withdrawal","USD","Withdrawal month","Raw","$0.01","Zero prior balance avoids division.","Implemented approved methodology with independent reference tests; passing tests are not proof of methodology correctness.","High","Retain until detailed projected tax lots exist.","chat_alpaca/retirement.py:_simulate","Implemented and tested","Retirement remediation implements account allocations, equal month-end deposits, fixed Social Security taxable fraction disclosure, owner RMDs, qualified Roth/no Traditional basis assumptions, taxable FIFO-plus-cash basis, proportional basis reduction, and retained surplus cash."
"TAX-007","Service output not currently displayed","Retirement tax","Unknown-account withdrawal tax","calculated-tax-estimate","Configured flat rate","Taxes unknown account withdrawals at the configured unknown-account rate.","Gross=MIN(Balance,NetNeed/(1-UnknownRate)); Tax=Gross*UnknownRate","'=MIN(AccountBalance,NetNeed/(1-UnknownRate))","Balance; need; rate","USD","Withdrawal month","Raw","$0.01","Account cap can leave shortfall.","Conservative explicit fallback.","High","Keep Unknown classification visible and require owner review.","chat_alpaca/retirement.py:_simulate","Requires independent check",""
"RET-008","Service output not currently displayed","Retirement outcomes","Shortfall and funded status","stochastic-summary","Monthly cash-flow simulation","Adds unmet monthly spending; a scenario funds the full horizon when total shortfall is effectively zero.","TotalShortfall=SUM(RemainingNeed_m); Funded=TotalShortfall<=0.00000001","'=SUM(MonthlyShortfalls)","Remaining need by month","USD; Boolean","Full horizon","Distribution output","$0.01; exact Boolean threshold","No remaining need means funded.","Correct.","Critical","Retain threshold disclosure.","chat_alpaca/retirement.py:_simulate","Requires seeded reproduction",""
"RET-009","Service output not currently displayed","Retirement outcomes","Probability funding full horizon; depletion probability","stochastic-summary","Scenario funded flags","Fractions of simulated scenarios funded or not funded.","FundingProbability=AVERAGE(FundedFlag); DepletionProbability=1-FundingProbability","'=AVERAGE(N(FundedFlags))","Scenario flags","Probability","Full horizon","Summary","Exact with identical scenarios; otherwise Monte Carlo interval","Unavailable if model cannot run.","Correct.","Critical","Retain simulation count, seed, and engine.","chat_alpaca/retirement.py:_simulate","Requires seeded reproduction",""
"RET-010","Service output not currently displayed","Retirement outcomes","Depletion age","stochastic-summary","First shortfall month","Converts the first month with remaining need to age.","DepletionAge=CurrentAge+FirstDepletionMonth/12","'=CurrentAge+FirstDepletionMonth/12","Current age; first shortfall month","Age","Full horizon","Percentiles","0.000001 years raw","No depletion produces blank for that scenario.","Correct monthly approximation.","High","Retain.","chat_alpaca/retirement.py:_simulate","Requires seeded reproduction",""
"RET-011","Service output not currently displayed","Retirement outcomes","Nominal and real percentile paths","stochastic-summary","Scenario balances and inflation","Computes empirical percentiles; real path divides nominal values by cumulative inflation.","RealValue_m=NominalValue_m/(1+MonthlyInflation)^m","'=NominalValue/POWER(1+MonthlyInflation,MonthNumber)","Scenario paths; inflation","USD","Each month/year","Percentiles P5-P95","Exact with identical scenarios","Unavailable on failed run.","Correct constant-inflation real-dollar conversion.","High","Retain.","chat_alpaca/retirement.py:_simulate","Requires seeded reproduction",""
"RET-012","Service output not currently displayed","Retirement outcomes","Lifetime taxes; withdrawals; outside-income contribution","stochastic-summary","Scenario accumulators","Reports empirical percentiles and means of accumulated taxes, gross withdrawals by account type, and outside income used for spending.","Summary=percentiles and AVERAGE(scenario totals)","'=AVERAGE(ScenarioTotals)","Scenario totals","USD","Lifetime horizon","Distribution summary","Exact with identical scenarios","Unavailable on failed run.","Correct summary of model estimates.","High","Keep gross versus net withdrawal distinction explicit.","chat_alpaca/retirement.py:_simulate","Disclosure required",""
"RET-013","Service output not currently displayed","Retirement outcomes","Target estate probability","stochastic-summary","Real terminal values","Fraction of real terminal values at or above the real target estate value.","Probability=COUNTIF(RealTerminal,"">=""&Target)/N","'=COUNTIF(RealTerminalRange,"">=""&TargetEstate)/COUNT(RealTerminalRange)","Real terminal values; target","Probability","Terminal horizon","Summary","Exact with identical scenarios","Absent without target.","Correct.","High","Retain real-dollar label.","chat_alpaca/retirement.py:_simulate","Requires seeded reproduction",""
"RET-014","Service output not currently displayed","Retirement outcomes","Sequence-risk diagnostics","stochastic-summary","First up-to-60 retirement months and terminal results","Compounds early returns, correlates them with real terminal value, and compares depletion in bottom and top early-return quartiles.","EarlyReturn=PRODUCT(1+r_first60)-1; Corr=CORREL(EarlyReturn,RealTerminal)","'=CORREL(EarlyReturnRange,RealTerminalRange)","Early return paths; terminal values; funded flags","Mixed","First 60 retirement months and full horizon","Summary","0.000001; exact with identical scenarios","Correlation unavailable with zero variance.","Useful sequence-risk diagnostic.","High","Retain quartile definitions.","chat_alpaca/retirement.py:_simulate","Requires seeded reproduction",""
"RET-015","Service output not currently displayed","Retirement outcomes","Worst-decile scenarios","stochastic-summary","Real terminal distribution","Selects the lowest 10% of real terminal values and reports scenario details.","WorstSet=lowest CEILING(N*10%) RealTerminal scenarios","'=SORTN(ScenarioTable,ROUNDUP(ROWS(ScenarioTable)*0.1),0,RealTerminalColumn,TRUE)","Scenario outcomes","Mixed","Full horizon","Table","Exact with identical scenarios","At least one scenario is returned.","Appropriate tail inspection.","Medium","Retain.","chat_alpaca/retirement.py:_simulate","Requires seeded reproduction",""
"RET-016","Service output not currently displayed","Retirement limitations","Outside-income surplus","calculated-policy","Retirement cash-flow layer","Retirement remediation implements account allocations, equal month-end deposits, fixed Social Security taxable fraction disclosure, owner RMDs, qualified Roth/no Traditional basis assumptions, taxable FIFO-plus-cash basis, proportional basis reduction, and retained surplus cash.","Surplus = MAX(NetOutsideIncome + NetRMD - Spending,0); retain as taxable cash until next rebalance","'=MIN(NetOutsideIncome,Spending)","Net income; spending","USD","Monthly","Raw","$0.01","No income gives zero.","Implemented approved methodology with independent reference tests; passing tests are not proof of methodology correctness.","High","Disclose prominently or add an owner-selectable reinvestment policy.","chat_alpaca/retirement.py:_simulate","Implemented and tested","Retirement remediation implements account allocations, equal month-end deposits, fixed Social Security taxable fraction disclosure, owner RMDs, qualified Roth/no Traditional basis assumptions, taxable FIFO-plus-cash basis, proportional basis reduction, and retained surplus cash."
"BOOT-001","Service output not currently displayed","Bootstrap forecast","Monthly return history","calculated","Confirmed month-end prices","Uses last observed price each month and simple month-over-month returns without filling.","MonthlyReturn=MonthEndPrice/PreviousMonthEndPrice-1","'=CurrentMonthEnd/PreviousMonthEnd-1","Daily prices","Decimal monthly return","Monthly history","Raw","0.000001","Missing month-end observations remain missing.","Correct.","High","Retain.","chat_alpaca/bootstrap_forecasting.py:monthly_returns_from_prices","Requires dataset reproduction",""
"BOOT-002","Service output not currently displayed","Bootstrap forecast","Circular block sampling","stochastic-calculated","Aligned monthly returns and seeded RNG","Circular monthly block sampling mechanics are retained and explicitly disclose end-to-start wrapping, within-block order, and joint row dependence.","Index=(RandomStart+Offset) MOD HistoryLength","'=MOD(RandomStart+BlockOffset,HistoryLength)+1","History length; block; horizon; seed","Row index","Forecast horizon","Integer","Exact with same sampled indices","Insufficient history rejected.","Implemented approved methodology with independent reference tests; passing tests are not proof of methodology correctness.","High","Retain exact seed and dataset.","chat_alpaca/bootstrap_forecasting.py:sample_block_indices","Implemented and tested","Circular monthly block sampling mechanics are retained and explicitly disclose end-to-start wrapping, within-block order, and joint row dependence."
"BOOT-003","Service output not currently displayed","Bootstrap forecast","Path value and fee","stochastic-calculated","Sampled returns","Applies sampled holding returns, deducts effective monthly fee, adds contributions, and optionally rebalances.","Holding_m=(Holding_(m-1)*(1+Return_m)-AllocatedFee)+Contribution*TargetWeight","'=PriorHolding*(1+SampledReturn)-TotalFee*PriorHolding/InvestedValue+Contribution*TargetWeight","Holdings; returns; fee; contribution; weights","USD","Monthly","Full precision","Exact with same paths","Invalid assumptions rejected.","Correct stated mechanics.","High","Retain.","chat_alpaca/bootstrap_forecasting.py:run_block_bootstrap","Requires seeded reproduction",""
"BOOT-004","Service output not currently displayed","Bootstrap forecast","Nominal and real loss probabilities","stochastic-summary","Terminal values and contributed capital","Nominal compares terminal with nominal contributed capital; real compares inflation-deflated terminal with discounted contributions.","NominalLoss=P(Terminal<TotalContributed); RealLoss=P(RealTerminal<RealCapital)","'=COUNTIF(TerminalRange,""<""&TotalContributed)/COUNT(TerminalRange)","Terminal values; contributions; inflation","Probability","Terminal horizon","Summary","Exact with same paths","Unavailable on failed run.","Transparent definitions, not accounting losses.","High","Keep definitions prominent.","chat_alpaca/bootstrap_forecasting.py:run_block_bootstrap","Requires seeded reproduction",""
"PARAM-001","Service output not currently displayed","Parametric forecast","Historical expected return","calculated-estimate","Aligned monthly returns","Expected returns use cross-sectional median shrinkage; covariance uses fixed diagonal covariance shrinkage; final annual return <= -100% is rejected before log1p.","GeoReturn=EXP(12*AVERAGE(LN(1+r)))-1; Shrunk=(1-alpha)*GeoReturn+alpha*MedianGeoReturn","'=EXP(12*AVERAGE(LN(1+MonthlyReturnRange)))-1","Monthly returns; shrinkage","Decimal annual return","Estimation history","Full precision","0.000001","Insufficient history requires proxy.","Implemented approved methodology with independent reference tests; passing tests are not proof of methodology correctness.","High","Retain source and shrinkage disclosure.","chat_alpaca/parametric_forecasting.py:estimate_parameters","Implemented and tested","Expected returns use cross-sectional median shrinkage; covariance uses fixed diagonal covariance shrinkage; final annual return <= -100% is rejected before log1p."
"PARAM-002","Service output not currently displayed","Parametric forecast","Shrunk covariance","calculated-estimate","Aligned monthly returns","Expected returns use cross-sectional median shrinkage; covariance uses fixed diagonal covariance shrinkage; final annual return <= -100% is rejected before log1p.","ShrunkCov=(1-alpha)*SampleCov+alpha*Diagonal(SampleCov)","'=(1-CovShrinkage)*SampleCovariance+CovShrinkage*DiagonalCovariance","Returns; shrinkage","Monthly covariance","Estimation history","Full precision","0.000001","Invalid matrices rejected.","Implemented approved methodology with independent reference tests; passing tests are not proof of methodology correctness.","High","Retain PSD validation.","chat_alpaca/parametric_forecasting.py:estimate_parameters","Implemented and tested","Expected returns use cross-sectional median shrinkage; covariance uses fixed diagonal covariance shrinkage; final annual return <= -100% is rejected before log1p."
"PARAM-003","Service output not currently displayed","Parametric forecast","Correlation multiplier","calculated-assumption","Validated correlation matrix","Scales only off-diagonal correlations toward zero.","AdjustedCorr=I+Multiplier*(Corr-I)","'=IdentityMatrix+CorrelationMultiplier*(CorrelationMatrix-IdentityMatrix)","Correlation; multiplier","Correlation","Forecast run","Full precision","0.000001","Invalid matrix rejected.","Transparent sensitivity.","Medium","Retain.","chat_alpaca/parametric_forecasting.py:estimate_parameters","Requires matrix reproduction",""
"PARAM-004","Service output not currently displayed","Parametric forecast","Normal or Student t draws","stochastic-calculated","Estimated mean/covariance and seeded RNG","Expected returns use cross-sectional median shrinkage; covariance uses fixed diagonal covariance shrinkage; final annual return <= -100% is rejected before log1p.","Reject final annual return <= -100% before log1p; simulated monthly return floor remains -0.999999","'=MAX(SimulatedMean+CorrelatedShock,-0.999999)","Parameters; distribution; seed","Decimal monthly return","Each simulated month","Full precision","Exact with same draws","Invalid matrices or degrees of freedom rejected.","Implemented approved methodology with independent reference tests; passing tests are not proof of methodology correctness.","High","Validate combined annual return plus shifts remains greater than -100%.","chat_alpaca/parametric_forecasting.py:_draw_returns","Implemented and tested","Expected returns use cross-sectional median shrinkage; covariance uses fixed diagonal covariance shrinkage; final annual return <= -100% is rejected before log1p."
"ARCH-001","Architecture","Extension architecture","Capability; Initial state; Activation requirement","static-documentation","Application source","Displays static architecture status and requirements.","N/A","'=StaticReferenceCell","Application constants","Text","Current release","Text","Exact","Always displayed.","Not a financial calculation.","Info","Exclude from numerical reconciliation but retain in full-field inventory.","streamlit_app.py:render_architecture","Documented",""
