"finding_id","category","severity","status","summary","evidence","potential_impact","recommendation","affected_displays_or_models","implementation_source"
"ASSESS-001","Overall methodology","Strength","Confirmed","The transaction ledger is consistently treated as the accounting source of truth.","Cash, positions, FIFO lots, and ledger entries are deterministically replayed from canonical dated transactions.","Creates reproducible balances and supports audit reconciliation.","Retain ledger authority and add periodic replay-integrity checks to the validation checklist.","Cash; holdings; basis; performance; transaction history","chat_alpaca/portfolio_service.py:replay_portfolio"
"ASSESS-002","Valuation","Strength","Confirmed","Confirmed portfolio valuation requires complete prices and uses one common closing date across active symbols.","The common date is the minimum of each held symbol's latest confirmed price date; missing symbols make the valuation incomplete.","Prevents understated totals and mixed-date portfolio values.","Retain and expose the common valuation date prominently.","Selected Totals; portfolio cards; forecast starting value","chat_alpaca/analytics.py:portfolio_valuation"
"ASSESS-003","Price adjustment","Strength","Confirmed","Portfolio accounting uses split-adjusted, non-dividend-adjusted closes while dividends remain ledger cash.","Benchmark comparison uses total-return data separately.","Avoids double counting portfolio dividends while permitting fair total-return benchmark comparison.","Retain strict dataset adjustment separation and provenance.","Portfolio value; performance; Alpha/Beta; Compare","docs/architecture/data-source-policy.md"
"ASSESS-004","Performance","Strength","Confirmed","Daily gain and TWR remove designated external investor flows.","DailyGain equals value change less external flow; TWR geometrically chains the resulting daily return.","Appropriate measurement of investment performance independent of contributions and withdrawals.","Retain after adding awards to external-flow classification.","Daily gain; Custom gain; TWR; Growth of $100","chat_alpaca/reconstruction.py:_daily_for_portfolio"
"ASSESS-005","Performance semantics","Critical","Approved change","All-time gain/loss does not consistently mean inception through today.","Market data acquisition and reconstruction can terminate at the applied master end date; live overlay is added only when that end date is today.","A historical Custom End can change a metric labeled All-time.","Calculate all-time independently from inception through today. Keep Custom End limited to custom/range metrics.","All-time gain/loss; combined all-time; per-portfolio all-time","chat_alpaca/analytics.py:portfolio_gain_loss; streamlit_app.py:get_prices"
"ASSESS-006","Flow classification","Critical","Approved change","Awards currently count as investment performance but the owner defines them as external contributions.","Award is absent from EXTERNAL_FLOW_KINDS and EXTERNAL_FLOW_KINDS/EXTERNAL_CASH_FLOW_KINDS equivalents.","Awards inflate gain/loss and TWR rather than being neutral investor flows.","Add award to external-flow classification in reconstruction and analytics, and add regression tests.","All-time; Daily; Custom; TWR; Growth of $100; Alpha/Beta","chat_alpaca/reconstruction.py; chat_alpaca/analytics.py"
"ASSESS-007","Comparison metrics","Critical","Change recommended","Insufficient history is displayed as zero return, zero volatility, and zero drawdown.","summary_metrics returns four zeros when fewer than two usable values exist.","Zero is a valid financial result and falsely implies evidence.","Return null/unavailable and disclose the observation count.","Compare Total return; Annualized return; Volatility; Max drawdown","chat_alpaca/analytics.py:summary_metrics"
"ASSESS-008","Holding labels","Critical","Change recommended","Holding All time and Custom values are current-lot unrealized price measures, not ledger-aware performance.","The holding table values only current FIFO lots and excludes sold positions and most income/expense effects.","Users can incorrectly reconcile these fields to portfolio total gain/loss.","Rename them Unrealized gain/loss and Current-lot custom price change, with explanatory captions.","Exact holdings All time; Custom","chat_alpaca/analytics.py:consolidated_holdings"
"ASSESS-009","Holding daily period","High","Change recommended","Holding Day can span more than one market session.","The calculation uses the last two available price observations without verifying consecutive completed sessions.","A data gap can make a multi-day move appear as one-day P/L.","Require consecutive market sessions or display the two actual dates.","Exact holdings Day","chat_alpaca/analytics.py:consolidated_holdings"
"ASSESS-010","Fractional holdings","High","Review","Holding shares are displayed with zero decimals in the exact-holdings tables.","The calculation preserves fractional quantities but the Streamlit column formatter uses zero decimals.","Visible values may not reproduce market value or basis for fractional positions.","Display enough decimal places when any fractional shares exist.","Exact holdings Shares","streamlit_app.py:render_consolidated_holdings"
"ASSESS-011","Alpha","High","Disclosure required","Displayed Annualized Alpha is a market-model intercept without a risk-free-rate adjustment.","Daily alpha is the mean of asset return minus Beta times SPY return, compounded for 252 days.","It should not be interpreted as Jensen or CAPM alpha.","Label it Annualized market-model alpha or disclose the zero-risk-free-rate assumption.","Overview and holding Annualized Alpha","chat_alpaca/analytics.py:alpha_beta_from_returns"
"ASSESS-012","Alpha/Beta sample","Medium","Review","The minimum 60 overlapping daily observations is a useful availability gate but a short estimation period.","Sixty sessions can produce unstable Beta and Alpha estimates during unusual regimes.","Risk statistics may move materially with the selected date range.","Keep the hard minimum and add preferred one-year observation guidance or confidence diagnostics.","Alpha; Beta","chat_alpaca/analytics.py:alpha_beta_from_returns"
"ASSESS-013","Volatility","High","Change recommended","Missing observations can make a multi-session price change enter volatility as one daily return.","Series drop missing values before percentage-change calculations in several analytics paths.","Annualized volatility may be distorted when coverage has gaps.","Require consecutive-session returns for daily volatility or scale explicitly by elapsed sessions.","Compare volatility; hypothetical volatility; market context","chat_alpaca/analytics.py:summary_metrics"
"ASSESS-014","Monitor attribution","Critical","Change recommended","Monitor Contribution is the holding's share of net daily dollar P/L, not return or risk contribution.","It divides holding change by total net change and becomes undefined only when the denominator is exactly zero.","Values can be extreme when gains and losses nearly offset and the label is ambiguous.","Rename Share of net daily P/L, keep dollar contribution, and define a near-zero denominator threshold.","Monitor Contribution","chat_alpaca/realtime.py:build_portfolio_pulse"
"ASSESS-015","Real-time data","Strength","Confirmed","Real-time values are explicitly indicative, provenance-aware, and complete-or-unavailable at the portfolio level.","Price falls back from latest trade to midpoint to previous close, while freshness and provider fields remain visible.","This is appropriate for an IEX active-session overlay and avoids silent zero valuation.","Retain source, feed, time, and freshness disclosures.","Monitor price; value; selected total; daily change","chat_alpaca/realtime.py"
"ASSESS-016","Income","Strength","Confirmed","Income metrics are based on realized ledger cash and are master-end aware.","Selected, YTD, and trailing-365 totals include dividends and interest; normalized quarterly income uses inclusive days.","Provides reproducible cash-income reporting.","Retain; add a warning when normalizing very short ranges.","Portfolio income","chat_alpaca/portfolio_service.py:portfolio_income_summary"
"ASSESS-017","Simple forecast","High","Disclosure required","The primary Forecast view is assumption-driven lognormal planning, not an empirical portfolio forecast.","It uses constant expected return and volatility, independent normal monthly shocks, fixed nominal contributions, and a fixed seed.","Results can understate skew, serial dependence, regime changes, and parameter uncertainty.","Keep the planning disclaimer and avoid presenting target probability as objective likelihood.","Forecast percentile bands and target probability","chat_alpaca/forecasting.py:simulate_portfolio_projection"
"ASSESS-018","Forecast contribution wording","High","Change recommended","The simple forecast describes contributions as today's dollars but does not inflation-adjust future contribution amounts.","The same nominal monthly contribution is added throughout the horizon.","Real contribution purchasing power declines under inflation even though the caption suggests constant real dollars.","Change wording to nominal contribution or explicitly escalate it with inflation.","Forecast monthly and annual percentiles","chat_alpaca/forecasting.py; streamlit_app.py:render_forecast"
"ASSESS-019","Deterministic scenarios","Strength","Confirmed","Scenario calculations are reproducible, assumption-explicit, and separated from stochastic forecasts.","Each run records model version, assumptions, coverage, and optionally dataset references.","Good foundation for validation and audit trails.","Retain exact assumption and dataset persistence.","Baseline; Scenario; Household impact; sensitivities","chat_alpaca/scenarios.py"
"ASSESS-020","Dividend stress","Medium","Disclosure required","Dividend-reduction stress assumes constant trailing-365 dividends for every year with no reinvestment or opportunity cost.","Impact equals negative trailing positive dividends times reduction rate times years.","Long-horizon impact is intentionally simple and may materially differ from an economic projection.","Disclose constant nominal income and no compounding; consider an optional reinvestment sensitivity.","Dividend reduction scenario","chat_alpaca/scenarios.py:run_deterministic_scenario"
"ASSESS-021","Scenario sensitivity","High","Change recommended","Low-return sensitivity changes expected baseline return rather than the low_return stress parameter.","The UI supplies expected_return variations while the stressed scenario is computed from assumptions.low_return.","The sensitivity label can imply the stress return itself is changing when it is not.","Vary low_return for the stressed result or explicitly label the varied baseline assumption.","Low-return and lost-decade sensitivity","streamlit_app.py:render_deterministic_scenarios; chat_alpaca/scenarios.py"
"ASSESS-022","Hypothetical isolation","Strength","Confirmed","Hypothetical actions operate on copied cash and lots and cannot mutate the ledger or submit orders.","The analysis applies FIFO changes to copied state and persists a ledger baseline hash.","Strong safety separation for what-if analysis.","Retain baseline staleness checks and explicit ticket-review boundary.","All hypothetical results","chat_alpaca/hypothetical.py"
"ASSESS-023","Hypothetical retirement","Critical","Change recommended","Hypothetical Retirement success probability is not produced by the full account-aware retirement engine.","The simplified helper only models lognormal return, fixed nominal monthly spending, and terminal survival.","The displayed label can imply tax, account-type, income, inflation, and withdrawal analysis that did not occur.","Rename Simplified depletion probability or integrate chat_alpaca.retirement.","Hypothetical Retirement success probability","chat_alpaca/hypothetical.py:_retirement_probability"
"ASSESS-024","Retirement taxable basis","Critical","Change recommended","The full retirement request builder does not populate taxable cost basis from ledger FIFO lots.","RetirementAccount objects are created from portfolio values without taxable_cost_basis, causing the engine to use the realization-fraction fallback.","Estimated taxable withdrawal taxes can differ materially from ledger-informed embedded gains.","Aggregate taxable FIFO basis at the common as-of date and pass it to each taxable RetirementAccount.","Retirement taxes; funding probability; terminal values","chat_alpaca/retirement.py:build_retirement_request"
"ASSESS-025","Retirement account allocation","Critical","Disclosure or model change","The retirement engine applies the same portfolio return to every account.","A single portfolio return derived from household asset weights multiplies every account balance.","Tax location and account-specific allocations do not affect return or risk.","Disclose the common-allocation assumption or model holdings and returns by account.","All retirement paths and outcomes","chat_alpaca/retirement.py:_simulate"
"ASSESS-026","Retirement tax model","High","Confirmed limitation","Taxes are transparent flat-rate planning estimates rather than tax-law calculations.","The engine excludes brackets, deductions, filing status, RMDs, state/local taxes, loss harvesting, detailed future lots, and provisional-income rules.","Results should not be used as tax advice or precise tax liability estimates.","Retain prominent limitations and sensitivity-test all rates.","Lifetime taxes; funding; withdrawals; shortfall","chat_alpaca/retirement.py:_simulate"
"ASSESS-027","Outside income","High","Disclosure or model change","Outside income above current monthly spending is discarded.","Only min(net outside income, spending) is accumulated as used; surplus is not added to balances.","Scenarios with substantial pension or Social Security surplus may understate wealth.","Disclose prominently or add an explicit reinvest-surplus assumption.","Retirement balances; target estate; outside-income contribution","chat_alpaca/retirement.py:_simulate"
"ASSESS-028","Retirement annual contribution timing","Medium","Disclosure required","Annual contributions occur in model month zero and every twelfth pre-retirement month.","The condition month modulo 12 equals zero applies the annual amount at the beginning of each modeled year.","Timing differs from an end-of-year contribution assumption.","Document timing or make timing owner-selectable.","Retirement contributions and balances","chat_alpaca/retirement.py:_simulate"
"ASSESS-029","Bootstrap forecast","Strength","Confirmed","Historical block bootstrap preserves joint asset observations and short contiguous return sequences without imposing an expected return.","Circular blocks are sampled with a deterministic seed and explicit proxies are required for inadequate histories.","Method is reproducible and captures more empirical dependence than the simple forecast.","Retain dataset, proxy, block-length, seed, and backtest evidence.","Bootstrap percentiles and probabilities","chat_alpaca/bootstrap_forecasting.py"
"ASSESS-030","Parametric forecast","Strength","Confirmed","Parametric estimates use cross-sectional return shrinkage, covariance shrinkage, matrix validation, and optional fat tails.","Expected returns derive from mean log returns and covariance is shrunk toward its diagonal.","More defensible than unregularized sample estimates.","Retain parameter-source disclosures and validation evidence.","Parametric forecast outputs","chat_alpaca/parametric_forecasting.py"
"ASSESS-031","Parametric validation","High","Enhancement recommended","A return override plus expected-return shift could potentially make a final annual return no greater than negative 100%.","The draw stage applies log1p to final annual returns; validation primarily constrains individual assumptions.","This can create invalid numerical values in extreme owner overrides.","Validate every final blended-and-shifted annual return is greater than negative 100%.","Parametric and retirement parametric paths","chat_alpaca/parametric_forecasting.py:_draw_returns"
"ASSESS-032","Trading fills","Strength","Confirmed","Fill synchronization applies only incremental provider fills and avoids duplicate ledger posting.","Incremental quantity and notional are calculated from provider cumulative totals less previously applied totals.","Supports idempotent synchronization and auditable order assignment.","Retain integration tests and reconcile any future provider fees separately.","Filled; Avg fill; resulting transactions","chat_alpaca/trading.py:sync_allocations"
"ASSESS-033","Provider fields","Control","Confirmed","Alpaca account and order fields are provider passthroughs rather than DashApp calculations.","Equity, cash, buying power, status, filled quantity, and average fill originate in provider responses.","They require timestamped source reconciliation instead of spreadsheet recomputation.","Capture provider response time and compare exact raw values before UI rounding.","Trade account and order displays","streamlit_app.py:render_trade_admin"
"ASSESS-034","Validation tolerances","Control","Approved","Metric-specific validation tolerances are now documented in the audit.","Currency, shares, ratios, dates, provider values, and deterministic simulations have separate tolerances.","Prevents false failures from display rounding while preserving strict accounting checks.","Apply tolerances to automated reconciliation tests and record raw versus displayed results.","All calculated and sourced fields","Calculations Audit.csv"
"ASSESS-035","Audit readiness","Overall","Ready for review","The audit inventory covers current calculated displays, stored/provider passthrough fields, approved methodology changes, and advanced retirement, tax, bootstrap, and parametric service outputs.","Each audit row includes a Google Sheets formula template, inputs, units, date scope, rounding, tolerance, missing-data behavior, assessment, target methodology, and source reference.","Provides a durable specification for later calculation edits without authorizing those edits.","Review and approve audit rows before changing calculation code; implement critical items incrementally with regression tests.","Entire DashApp calculation surface","Calculations Audit.csv"
